virus	time	repID	measID	fitness	logfitness
1	0	1	1	1.0797	0.033303101
1	0	1	2	1.0243	0.010427173
1	0	1	3	1.0129	0.005566571
1	0	2	1	1.0797	0.033303101
1	0	2	2	1.0243	0.010427173
1	0	2	3	1.0129	0.005566571
1	0	3	1	1.0797	0.033303101
1	0	3	2	1.0243	0.010427173
1	0	3	3	1.0129	0.005566571
1	0	4	1	1.0797	0.033303101
1	0	4	2	1.0243	0.010427173
1	0	4	3	1.0129	0.005566571
1	0	5	1	1.0797	0.033303101
1	0	5	2	1.0243	0.010427173
1	0	5	3	1.0129	0.005566571
1	4	1	1	1.8031	0.256019813
1	4	1	2	1.4399	0.158332332
1	4	1	3	1.5719	0.196424914
1	4	2	1	1.7103	0.233072296
1	4	2	2	1.4207	0.15250238
1	4	2	3	1.5073	0.178199699
1	4	3	1	1.2268	0.088773767
1	4	3	2	1.7937	0.253749808
1	4	3	3	1.3434	0.128205344
1	4	4	1	1.4607	0.164561029
1	4	4	2	2.0781	0.317666442
1	4	4	3	1.4369	0.157426545
1	4	5	1	1.3595	0.133379212
1	4	5	3	1.465	0.165837625
1	8	1	1	3.9745	0.599282501
1	8	1	2	3.7095	0.569315375
1	8	1	3	3.5079	0.545047204
1	8	2	1	2.7016	0.431621048
1	8	2	2	3.0151	0.479301721
1	8	2	3	3.0114	0.478768446
1	8	3	1	2.9775	0.47385177
1	8	3	2	3.0716	0.487364659
1	8	3	3	2.6341	0.420632258
1	8	4	1	3.6907	0.567108745
1	8	4	2	3.4861	0.542339841
1	8	4	3	3.378	0.528659645
1	8	5	1	3.32	0.521138084
1	8	5	2	3.3104	0.519880473
1	8	5	3	2.9423	0.468686952
1	12	1	1	4.8342	0.684324614
1	12	1	2	5.1188	0.709168161
1	12	1	3	4.9072	0.690833759
1	12	2	1	3.03	0.481442629
1	12	2	2	2.833	0.452246575
1	12	2	3	3.7255	0.571184568
1	12	3	1	3.6613	0.563635316
1	12	3	2	3.3708	0.527732985
1	12	3	3	3.4809	0.541691547
1	12	4	1	6.8406	0.835094196
1	12	4	2	4.7191	0.67385918
1	12	4	3	5.1796	0.714296222
1	12	5	1	3.9378	0.595253655
1	12	5	2	5.1374	0.710743381
1	12	5	3	5.0625	0.704365036
0	0	1	1	0.4548	-0.342179544
0	0	1	2	0.5395	-0.268008551
0	0	1	3	0.4621	-0.335264031
0	0	2	1	0.4548	-0.342179544
0	0	2	2	0.5395	-0.268008551
0	0	2	3	0.4621	-0.335264031
0	0	3	1	0.4548	-0.342179544
0	0	3	2	0.5395	-0.268008551
0	0	3	3	0.4621	-0.335264031
0	0	4	1	0.4548	-0.342179544
0	0	4	2	0.5395	-0.268008551
0	0	4	3	0.4621	-0.335264031
0	0	5	1	0.4548	-0.342179544
0	0	5	2	0.5395	-0.268008551
0	0	5	3	0.4621	-0.335264031
0	4	1	1	0.7693	-0.113904268
0	4	1	2	0.8586	-0.066209116
0	4	1	3	0.6884	-0.162159138
0	4	2	1	1.3695	0.136562037
0	4	2	2	0.9113	-0.04033863
0	4	2	3	0.7375	-0.132237975
0	4	3	1	0.7702	-0.113396486
0	4	3	2	1.0222	0.009535877
0	4	3	3	0.7533	-0.123032033
0	4	4	1	0.8127	-0.09006974
0	4	4	2	0.8574	-0.066816521
0	4	4	3	0.7817	-0.106959888
0	4	5	1	0.6823	-0.166024629
0	4	5	2	0.8126	-0.090123182
0	4	5	3	0.8249	-0.083598696
0	8	1	1	1.4763	0.16917462
0	8	1	2	2.1985	0.34212647
0	8	1	3	1.7994	0.255127716
0	8	2	1	2.0585	0.313550871
0	8	2	2	2.1637	0.335197045
0	8	2	3	2.0378	0.309161558
0	8	3	1	2.6282	0.419658411
0	8	3	2	2.9054	0.463205932
0	8	3	3	2.1572	0.333890412
0	8	4	1	3.1288	0.495377803
0	8	4	2	2.8717	0.458139068
0	8	4	3	4.1781	0.62097883
0	8	5	1	1.7517	0.24345973
0	8	5	2	1.7994	0.255127716
0	8	5	3	1.7679	0.247457696
0	12	1	1	2.8668	0.457397396
0	12	1	2	2.7721	0.442808893
0	12	1	3	2.5203	0.401452239
0	12	2	1	1.9478	0.289544361
0	12	2	2	2.0553	0.312875222
0	12	2	3	1.9244	0.284295348
0	12	3	1	2.4113	0.382251246
0	12	3	2	2.4139	0.382719275
0	12	3	3	2.5446	0.405619523
0	12	4	1	2.9933	0.476150246
0	12	4	2	4.0113	0.603285144
0	12	4	3	3.3041	0.519053183
0	12	5	1	2.9889	0.475511385
0	12	5	2	2.9359	0.467741259
0	12	5	3	2.8068	0.448211468
