virus	time	repID	measID	fitness	logfitness
1	0	1	1	1.1142	0.046963154
1	0	1	2	1.0406	0.017283822
1	0	1	3	1.0738	0.0309234
1	0	1	4	1.1195	0.049024098
1	0	1	5	1.1052	0.043440876
1	0	1	6	1.1261	0.051576958
1	0	1	7	1.0652	0.027431158
1	0	1	8	1.0433	0.018409207
1	0	1	9	0.9998	-8.69E-05
1	0	1	10	1.006	0.002597981
1	0	1	11	0.9753	-0.010861776
1	0	1	12	0.9514	-0.021636853
1	0	2	1	1.1142	0.046963154
1	0	2	2	1.0406	0.017283822
1	0	2	3	1.0738	0.0309234
1	0	2	4	1.1195	0.049024098
1	0	2	5	1.1052	0.043440876
1	0	2	6	1.1261	0.051576958
1	0	2	7	1.0652	0.027431158
1	0	2	8	1.0433	0.018409207
1	0	2	9	0.9998	-8.69E-05
1	0	2	10	1.006	0.002597981
1	0	2	11	0.9753	-0.010861776
1	0	2	12	0.9514	-0.021636853
1	0	3	1	1.1142	0.046963154
1	0	3	2	1.0406	0.017283822
1	0	3	3	1.0738	0.0309234
1	0	3	4	1.1195	0.049024098
1	0	3	5	1.1052	0.043440876
1	0	3	6	1.1261	0.051576958
1	0	3	7	1.0652	0.027431158
1	0	3	8	1.0433	0.018409207
1	0	3	9	0.9998	-8.69E-05
1	0	3	10	1.006	0.002597981
1	0	3	11	0.9753	-0.010861776
1	0	3	12	0.9514	-0.021636853
1	0	4	1	1.1142	0.046963154
1	0	4	2	1.0406	0.017283822
1	0	4	3	1.0738	0.0309234
1	0	4	4	1.1195	0.049024098
1	0	4	5	1.1052	0.043440876
1	0	4	6	1.1261	0.051576958
1	0	4	7	1.0652	0.027431158
1	0	4	8	1.0433	0.018409207
1	0	4	9	0.9998	-8.69E-05
1	0	4	10	1.006	0.002597981
1	0	4	11	0.9753	-0.010861776
1	0	4	12	0.9514	-0.021636853
1	0	5	1	1.1142	0.046963154
1	0	5	2	1.0406	0.017283822
1	0	5	3	1.0738	0.0309234
1	0	5	4	1.1195	0.049024098
1	0	5	5	1.1052	0.043440876
1	0	5	6	1.1261	0.051576958
1	0	5	7	1.0652	0.027431158
1	0	5	8	1.0433	0.018409207
